"subject","sex","age","MFG_LEARNING","MFG_APPLICATION"
1009,0,15.09,2.6494,-1.9617
1013,0,14.41,0.7717,-2.3657
1065,0,15.69,1.62705,-0.6932
1096,0,16.16,1.3592,0.5029
1151,0,16.49,1.44925,-2.7287
1173,1,17.41,2.44515,-2.6806
1179,0,16.29,2.25715,-1.0001
1246,0,17.8,0.83785,-1.3445
1252,0,17.66,1.00805,1.8199
1265,0,17.77,0.8798,-1.4208
1317,0,15.36,3.0732,-0.5041
1347,0,15.67,-0.92195,-1.8615
1375,1,15.17,2.7303,0.6424
1377,0,15.45,2.3024,-1.4176
1378,1,15.1,2.0513,-0.9502
1507,1,11.85,-1.2981,-3.7717
1513,0,11.27,1.66785,-1.294
1514,1,12.46,2.8089,1.2569
1523,0,11.14,0.93385,-1.0611
1528,1,10.11,1.78445,0.2824
1532,1,10.92,1.78355,-0.3147
1542,1,10.32,4.0842,2.0549
1543,1,10.62,0.75565,-1.3335
1574,1,9.85,3.3178,2.4828
1595,0,8.98,2.14215,0.3461
1602,1,9.73,-0.7713,-1.8793
1607,0,9.56,1.2526,-1.0116
1608,0,9.59,1.0215,-0.5888
1657,0,10.19,0.8391,-0.7042
1664,0,11.83,-0.01245,-2.9033
1672,1,11.19,0.4206,-1.8337
1678,1,11.35,1.07775,-1.4528
1683,1,8.48,3.5841,0.8751
2001,0,23.41,1.0016,-4.6417
2002,0,19.15,0.1775,-0.7824
2003,1,20.07,0.2787,-2.1076
2004,1,20.43,2.50095,-0.4225
2005,0,20.27,2.29545,-2.2389
2006,1,22.51,4.04395,-1.3676
2007,1,22.18,1.95475,-2.4526
2008,1,21.17,3.7032,-1.6291
2009,0,18.44,1.5294,-2.0887
2010,1,19.77,0.51305,-4.6129
2011,0,20.79,1.66415,0.6251
2012,1,24.32,4.7894,0.6523
2013,1,24.55,0.79915,-2.0966
2016,1,25.95,3.1878,1.1906
2018,1,20.25,2.28295,1.5419
2019,1,22.99,3.74575,0.243
2020,1,22.3,0.8324,-3.0577
2021,0,19.82,0.5571,-4.7705
2024,0,20.02,3.45495,-0.9451
2027,0,22.79,0.4797,-2.0961
2028,0,19.82,0.77385,-0.299
2029,0,22.46,2.77755,-0.9811
2030,0,19.56,2.62115,-1.6587
2031,1,23.44,2.03945,-0.3269
2032,0,20.85,4.09585,-1.9989
2033,0,19.43,1.5113,-1.7501
2034,0,20.68,0.4945,-2.2914
2035,0,20.74,1.3612,-4.8253
